"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","39.6696","39.5336","39.9397","39.4343","95.62K","0.86%"
"01/11/2023","39.3295","39.4564","39.6071","39.4109","87.81K","0.20%"
"01/10/2023","39.2527","39.4160","39.5428","39.3663","94.34K","0.06%"
"01/09/2023","39.2308","39.0857","39.6266","39.0820","87.49K","0.81%"
"01/06/2023","38.9145","38.6699","39.1279","38.5198","94.85K","1.15%"
"01/05/2023","38.4702","38.9712","39.0760","38.6423","81.26K","-0.75%"
"01/04/2023","38.7591","38.7654","39.0888","38.7379","90.18K","0.46%"
"01/03/2023","38.5799","39.3665","39.4440","38.6589","94.73K","-1.94%"
"01/02/2023","39.3428","39.5086","39.5307","39.1594","21.16K","-0.37%"
"12/30/2022","39.4904","39.3801","39.5529","39.0912","71.53K","0.31%"
"12/29/2022","39.3700","39.1689","39.4835","39.0197","59.74K","0.56%"
"12/28/2022","39.1509","39.2870","39.4089","39.0187","56.02K","-0.26%"
"12/27/2022","39.2542","39.2705","39.4059","39.0526","68.38K","0.03%"
"12/26/2022","39.2432","39.1912","39.2868","38.9923","17.51K","0.11%"
"12/23/2022","39.2020","39.1136","39.2743","38.9223","95.75K","0.29%"
"12/22/2022","39.0882","39.1579","39.3705","38.9540","98.57K","-0.09%"
"12/21/2022","39.1251","39.2243","39.3202","38.9562","86.76K","-0.17%"
"12/20/2022","39.1915","39.1542","39.3517","38.9030","130.49K","0.15%"
"12/19/2022","39.1325","39.0988","39.3451","38.9395","92.02K","0.22%"
"12/16/2022","39.0476","39.2281","39.3782","38.9634","96.98K","-0.41%"
"12/15/2022","39.2099","39.2547","39.6359","38.9507","96.30K","0.40%"
"12/14/2022","39.0534","39.2538","39.4591","39.0177","93.44K","-0.44%"
"12/13/2022","39.2247","38.8884","39.4052","38.6901","76.63K","0.90%"
"12/12/2022","38.8742","38.6852","39.0717","38.6044","72.92K","0.98%"
"12/09/2022","38.4977","38.9807","39.0914","38.6062","81.68K","-1.17%"
"12/08/2022","38.9516","38.8083","39.0047","38.5612","89.82K","0.40%"
"12/07/2022","38.7950","38.6502","38.9653","38.3859","102.39K","0.43%"
"12/06/2022","38.6306","38.7223","38.9018","38.4729","83.95K","-0.21%"
"12/05/2022","38.7118","38.6429","39.0975","38.5766","91.08K","0.48%"
"12/02/2022","38.5269","38.6686","38.9273","38.3159","82.22K","0.15%"
"12/01/2022","38.4684","38.4351","38.7580","38.1872","108.32K","0.11%"
"11/30/2022","38.4247","38.1488","38.5182","37.9108","93.09K","0.74%"
"11/29/2022","38.1413","38.1879","38.3928","37.9467","75.31K","-0.09%"
"11/28/2022","38.1745","38.3429","38.7716","37.9854","78.72K","-0.56%"
"11/25/2022","38.3887","38.4427","38.5202","38.1265","70.31K","-0.12%"
"11/24/2022","38.4367","38.4014","38.5915","38.1508","68.54K","0.13%"
"11/23/2022","38.3877","38.0560","38.4291","37.8513","74.59K","0.90%"
"11/22/2022","38.0443","37.8296","38.0709","37.6294","80.01K","0.59%"
"11/21/2022","37.8200","38.1066","38.1657","37.5703","82.76K","-0.80%"
"11/18/2022","38.1265","38.2691","38.3965","37.9851","96.55K","-0.35%"
"11/17/2022","38.2595","38.1674","38.4121","37.9356","101.19K","0.87%"
"11/16/2022","37.9308","37.9801","38.5514","37.9305","105.34K","0.43%"
"11/15/2022","37.7666","37.9103","38.7098","37.7433","105.36K","0.21%"
